235.3690 44.4567	-138.3444 10.8464
234.5336 44.6547	-2819.4514 11.0063
234.5347 44.6534	-2819.2051 10.9591
234.5330 44.6577	-2818.2634 11.0087
233.6931 44.8476	-2816.8313 11.0702
233.6917 44.8489	-2816.4753 11.1106
232.8436 45.0636	-2879.0051 11.2799
232.8448 45.0631	-2878.6577 11.2809
232.8433 45.0617	-2878.7842 11.2787
232.8440 45.0301	-2867.8865 11.3315
231.9916 45.1757	-2853.2192 11.4402
231.9942 45.1731	-2853.6086 11.4875
231.0931 45.4242	-2794.1282 11.6119
231.0900 45.4261	-2793.3889 11.5601
230.3273 45.5531	-2588.3132 11.6310
230.3276 45.5519	-2590.2566 11.6742
229.3970 45.7145	-2567.3359 11.8545
235.4292 45.1066	-404.4970 10.9864
235.4294 45.1066	-404.4193 10.9864
235.4292 45.1068	-404.4968 10.9862
234.5855 45.3057	-2286.4365 11.0543
234.5848 45.3070	-2288.7095 11.0569
233.7332 45.4989	-2665.4551 11.1996
233.7317 45.4995	-2666.1125 11.1586
232.8775 45.6855	-2823.7332 11.3578
232.8748 45.6865	-2823.3286 11.3617
232.0147 45.8642	-2854.5073 11.3350
232.0147 45.8635	-2854.5339 11.3787
231.1469 46.0395	-2771.9116 11.5921
231.1464 46.0389	-2771.8840 11.5926
230.3559 46.1760	-2403.5845 11.7607
230.3562 46.1761	-2404.0063 11.7606
235.4628 45.8119	-189.5642 10.8653
235.4624 45.8117	-189.7133 10.8658
234.7003 45.9331	-1643.0951 11.1968
234.7009 45.9323	-1642.4562 11.1967
233.8279 46.1378	-2636.1091 11.2895
233.8275 46.1370	-2636.4673 11.3326
232.9610 46.3230	-2721.9988 11.3807
232.9593 46.3240	-2722.0654 11.3822
232.0951 46.5209	-2758.5642 11.6323
232.0953 46.5209	-2758.5630 11.6323
231.2117 46.6639	-2745.6748 11.5790
231.2106 46.6645	-2745.7847 11.5409
230.2865 46.8433	-2691.9082 11.7468
230.2861 46.8440	-2691.8315 11.7476
229.3487 47.1304	-2843.3782 12.0039
229.3615 47.1282	-2833.5557 11.9515
229.3493 47.1295	-2842.7214 12.0076
235.5725 46.4378	-121.6718 11.0444
235.5722 46.4380	-121.8533 11.0443
234.7009 46.6402	-1616.2926 11.1624
234.7013 46.6411	-1613.7228 11.1621
233.8359 46.7970	-2603.4548 11.2747
